player,elo_global,elo_clay,elo_hard,elo_grass
Karatsev A.,1577.2964798993446,1520.7140236190608,1563.840136198122,1476.2888610152509
Gigante M.,1576.7992476879892,1531.8379393421928,1509.7539066795223,1500.0
Bellucci M.,1576.0438466598605,1472.0999886283043,1544.7157281578695,1518.4663564727607
Bachinger M.,1575.9229148205286,1466.580126037544,1552.6316615239548,1438.382335872833
Kuznetsov An.,1575.5619018286059,1575.8581484957645,1544.4628232995565,1500.6669156241962
Sela D.,1575.2162188294371,1369.1510014080018,1541.5925346911374,1599.2446585602202
Hanescu V.,1574.3096018312838,1617.0086668016231,1473.3947692155505,1473.8352487743282
Blake J.,1574.2924673713858,1529.0739682340698,1601.3387765068496,1486.3018485372772
Vukic A.,1573.918334315419,1438.678816196115,1552.2043584015853,1523.714565025871
O Connell C.,1573.3034200831933,1457.428108065757,1589.4289763753084,1473.5477190994998
Purcell M.,1572.9807584762707,1466.9916635122636,1532.015048409671,1499.0157357745895
Herbert P.H.,1572.4849209454073,1516.493153994803,1604.9864331032202,1532.2252936011428
Brouwer G.,1571.6422180706504,1511.5025532863597,1534.7331853310475,1504.7076908312442
Kohlschreiber P.,1571.1120879545933,1601.7243305895247,1588.1632747477422,1577.2111357411768
Schalken S.,1570.494226606964,1544.5269960927922,1551.938167711977,1730.6847266649643
Gil F.,1570.1698480944383,1541.811109795459,1552.8351840307275,1394.5463842136212
Berankis R.,1569.9942582588883,1429.1873304693936,1584.0902914130859,1399.0326240494667
Jarry N.,1569.6013062916002,1549.741760719767,1527.917511836583,1594.2301375447203
Kym J.,1569.4546418058912,1509.0631732162533,1547.57775876578,1500.0
Djere L.,1568.719640837974,1646.4135110876985,1542.328807817292,1433.843380243444
Navone M.,1568.1726294809698,1611.515658770132,1455.8327171151404,1456.4539905038218
Suzuki T.,1568.1313841004435,1500.0,1566.502805758727,1484.9172249876747
El Aynaoui Y.,1567.990265364188,1580.9367661421322,1538.122980036281,1535.4862836118436
Del Potro J. M.,1567.068569374186,1546.0565130840382,1500.0,1500.0
Martin T.,1566.326003734052,1481.7509326547122,1568.9703732207515,1606.078255792102
Tsonga J.W.,1566.2717092210871,1625.3064941037082,1652.9019103788874,1728.259126560781
Ivashka I.,1565.3480680547884,1504.284697917656,1586.486472734995,1547.1533354673413
Galan D.,1563.610611809191,1530.150418915203,1500.0,1500.0
Rufin G.,1563.421898162254,1471.832598971578,1541.2794113635166,1483.4382897840555
Squillari F.,1563.2172018555098,1538.610506840701,1496.0757133711106,1416.964200065953
Barton M.,1562.3897838424143,1503.5058397268353,1537.9228403459042,1510.7481385070434
Riedi L.,1561.4697562395763,1488.1434573120716,1574.8376501870566,1470.0
Arazi H.,1561.1096218384225,1433.9011377010297,1567.7296350695026,1567.5730161463202
Vesely J.,1560.5477973587647,1494.3023883822254,1528.945857618624,1612.591050091393
Malisse X.,1560.4685843275813,1456.266040251757,1527.4524374034709,1727.994447758113
Koubek S.,1560.2702970302498,1475.7805115188123,1611.2300261763728,1386.163132877326
Krajinovic F.,1560.058662208379,1536.202243532847,1572.265341322779,1531.0692067393366
Mcdonald M.,1559.3925245410885,1424.6357563002173,1600.4414388738503,1540.8339846420138
Pouille L.,1558.9734096148231,1514.6843392460414,1571.0146079231602,1636.4715101527993
Kubot L.,1558.4496385859431,1515.563770194101,1439.155773559757,1606.8787105934284
Safiullin R.,1558.1496244007901,1460.0540950982715,1602.5168269839153,1520.9853111428988
Kucera K.,1557.5820503406192,1396.356221137177,1570.6738139367276,1538.0048396787154
Misolic F.,1556.2733865797145,1581.5415339021617,1470.2708578468512,1478.210763793397
Goffin D.,1555.740735068764,1586.6163054780707,1540.1299993998796,1594.6983924506442
Hsu Y.,1555.182608924331,1500.0,1547.9669526269272,1500.0
Srichaphan P.,1555.034400991463,1335.3061736315494,1571.1411016741222,1550.7091044392514
Svrcina D.,1555.012719314216,1487.1156252525755,1549.1406620056805,1500.0
Broady L.,1554.6207492435583,1473.2795284130223,1554.2104725162808,1462.3239357633427
Sluiter R.,1554.5642093992258,1493.9712997159054,1463.5464692737162,1544.5468431873915
Moya C.,1554.4025514413468,1628.4136148765574,1577.347405139682,1538.883741421343
Brown D.,1554.1604763326015,1478.8164004916766,1508.0954560963908,1580.0386292295811
Muller G.,1554.1334939233361,1493.576095950578,1553.6061300196163,1705.7901586164664
Schwank E.,1554.007187203301,1544.8632726622411,1462.6253239097468,1393.039075008178
Varillas J. P.,1553.3694693764232,1547.482252771741,1482.4403767728056,1500.0
Bjorkman J.,1552.7431806186817,1435.7542328820628,1496.1071755751032,1672.8220292764438
