player,elo_global,elo_clay,elo_hard,elo_grass
Youzhny A.,1530.8558512578481,1500.0,1515.6455483109216,1500.0
Gulbis E.,1530.6957631992902,1553.2244592063696,1546.3912834179941,1544.991327399844
Flanagan I.,1530.362004002856,1500.0,1500.0,1541.6227722327915
Granollers M.,1530.3409867877826,1558.2311101649943,1428.8824347705386,1576.3570818789951
Del Potro J.,1528.9880903053304,1517.6974719534687,1500.0,1500.0
Lee H.T.,1528.8393339791578,1487.1017298629627,1573.3006976587233,1516.7111195576124
Carlsen K.,1528.1534256063603,1386.7336598590703,1562.9750635105825,1453.9986041546208
Dupuis A.,1528.0141759546482,1415.2724340788734,1449.4350520635487,1561.7075652079193
Kamke T.,1527.930704293999,1508.0971104337025,1487.4461521895641,1513.9876236843434
Bellier A.,1527.6170838942699,1477.7931682192639,1497.0372477267983,1545.213823143315
Auckland J.,1527.2628510982631,1500.0,1527.697506299857,1500.0
Ficovich J.P.,1526.6851134402812,1491.4164610591006,1528.7362392877087,1500.0
Chela J.,1526.5995373847109,1524.3123531131064,1482.9174860914966,1500.0
Young D.,1526.5265088775245,1403.03522978744,1536.8896559221769,1539.4855673493335
Bedene A.,1526.4618517619303,1584.6440863091402,1548.2668433349427,1479.975127435463
Kubler J.,1526.0234061750275,1519.6393263927216,1481.5243555404213,1554.8661368120147
Ofner S.,1525.5124964616557,1568.8585662956,1463.4699177028976,1555.4966237479998
Walton A.,1525.4482430733847,1494.8176133338202,1503.0972247016957,1461.6067004871634
Atmane T.,1525.4042809201103,1478.0665332893636,1509.847387874867,1500.0
Kotov P.,1524.9458934617662,1566.7512149691222,1467.5146155352243,1499.3226620097562
Robredo R.,1524.8417036133349,1500.0,1521.9112394813533,1500.0
Thiem D.,1524.7766476964064,1601.072920325354,1641.2237242744939,1520.2334811739706
Llamas Ruiz P.,1524.7130682288628,1508.6947151585866,1496.4807879179582,1500.0
Domingues J.,1524.6175742463527,1494.6610913915106,1500.0,1500.0
Dzumhur D.,1524.4966910617954,1592.7116236994527,1416.73496582914,1481.881747293331
Schuettler P.,1524.0212225801538,1519.3360091846923,1500.0,1500.0
Sergeyev I.,1524.0109176931398,1500.0,1520.3935550461226,1500.0
Willis M.,1523.9523205257244,1500.0,1500.0,1518.4823013750442
Tipsarevic J.,1523.8959381360417,1532.1891203073826,1538.5596291703396,1521.621299547184
Schuettler R.,1523.7006016394514,1364.2225561987912,1463.200683425144,1620.9025549230114
Prizmic D.,1523.4622474134474,1510.8049266457074,1493.1643239787977,1500.0
Larose S.,1523.4052707110086,1500.0,1503.0535566179637,1500.0
Wang Y.T.,1522.8717052158074,1465.9599031610956,1502.5890905978604,1504.2667589157893
Schoolkate T.,1522.802105336864,1488.3515720551761,1512.199791342852,1485.841209797519
Tarvet O.,1522.7630799426747,1500.0,1500.0,1526.5007395463622
Canas G.,1522.6850532587368,1616.1568055643336,1557.384906661942,1588.2847304801153
Andreev I.,1522.4290793288285,1539.6629635945014,1524.0741974602035,1501.3056946270324
Rochus O.,1522.381310304191,1416.3444116197618,1566.0983992632296,1523.4304185671056
Nardi L.,1521.7412909577881,1447.8955167820343,1526.589260543119,1454.7403352911367
Ugo Carabelli C.,1521.4412866894704,1570.2743909943244,1470.410360206446,1448.4079171076137
Wawrinka S.,1521.203539100561,1566.2849333007955,1559.2763992872092,1598.5878587902203
Basilashvili N.,1521.1942155588233,1496.469088817792,1507.7191228298855,1584.177270992971
Barrere G.,1521.1478041190874,1461.7450495214382,1466.0706437128536,1515.1846186976761
Montcourt M.,1520.7873792103305,1515.3734889175983,1465.4903511098178,1500.0
Gustafsson M.,1520.6371060962429,1509.0618171255667,1517.404247323528,1485.7980782424584
de Voest R.,1520.5252339125223,1500.0,1513.1566444801858,1491.797965745183
