winrate_diff,odds_diff,matches_diff,rank_diff,a_wins
-0.3,0.9595999999999987,0.0,0.0,0
0.36666666666666664,-1.315944444444445,1.0,0.0,1
-0.36666666666666664,1.315944444444445,-1.0,0.0,0
-0.033333333333333326,0.010916666666666242,1.0,0.0,1
0.033333333333333326,-0.010916666666666242,-1.0,0.0,0
0.3142857142857143,0.4086857142857141,-3.0,0.0,1
-0.3142857142857143,-0.4086857142857141,3.0,0.0,0
0.0,-0.6158000000000012,0.0,0.0,1
0.0,0.6158000000000012,0.0,0.0,0
0.49999999999999994,-0.29435714285714165,0.0,0.0,1
-0.49999999999999994,0.29435714285714165,0.0,0.0,0
0.25,-0.6029722222222218,2.0,0.0,1
-0.25,0.6029722222222218,-2.0,0.0,0
0.3,-1.368750000000001,0.0,0.0,1
-0.3,1.368750000000001,0.0,0.0,0
-0.16666666666666663,0.849535714285713,1.0,0.0,1
0.16666666666666663,-0.849535714285713,-1.0,0.0,0
-0.39999999999999997,1.017000000000004,0.0,0.0,1
0.39999999999999997,-1.017000000000004,0.0,0.0,0
0.14444444444444438,-0.7124499999999996,1.0,0.0,1
-0.14444444444444438,0.7124499999999996,-1.0,0.0,0
-0.09999999999999998,0.12392857142856872,0.0,0.0,1
0.09999999999999998,-0.12392857142856872,0.0,0.0,0
-0.30000000000000004,-0.3923714285714286,0.0,0.0,1
0.30000000000000004,0.3923714285714286,0.0,0.0,0
0.29999999999999993,-0.4131428571428575,0.0,0.0,1
-0.29999999999999993,0.4131428571428575,0.0,0.0,0
0.10000000000000003,-1.3982857142857141,0.0,0.0,1
-0.10000000000000003,1.3982857142857141,0.0,0.0,0
-0.2142857142857143,-2.307571428571429,3.0,0.0,1
0.2142857142857143,2.307571428571429,-3.0,0.0,0
-0.16666666666666663,-0.7191249999999987,1.0,0.0,1
0.16666666666666663,0.7191249999999987,-1.0,0.0,0
0.0,-0.9923000000000006,0.0,0.0,1
0.0,0.9923000000000006,0.0,0.0,0
0.26666666666666666,-3.6280000000000046,4.0,0.0,1
-0.26666666666666666,3.6280000000000046,-4.0,0.0,0
0.25555555555555554,-0.26849999999999974,1.0,0.0,1
-0.25555555555555554,0.26849999999999974,-1.0,0.0,0
-0.5,1.3091666666666648,-2.0,0.0,1
0.5,-1.3091666666666648,2.0,0.0,0
-0.475,0.1246666666666656,-2.0,0.0,1
0.475,-0.1246666666666656,2.0,0.0,0
0.19999999999999996,-0.6780500000000005,0.0,0.0,1
-0.19999999999999996,0.6780500000000005,0.0,0.0,0
-0.033333333333333326,0.8837428571428565,-1.0,0.0,1
0.033333333333333326,-0.8837428571428565,1.0,0.0,0
0.09999999999999998,-0.09931111111111202,0.0,0.0,1
-0.09999999999999998,0.09931111111111202,0.0,0.0,0
0.0,-0.2538222222222233,0.0,0.0,1
0.0,0.2538222222222233,0.0,0.0,0
0.05555555555555558,0.25866666666666527,1.0,0.0,1
-0.05555555555555558,-0.25866666666666527,-1.0,0.0,0
0.0,-0.4341000000000004,0.0,0.0,1
0.0,0.4341000000000004,0.0,0.0,0
0.15555555555555556,-3.6804222222222225,1.0,0.0,1
-0.15555555555555556,3.6804222222222225,-1.0,0.0,0
-0.05555555555555558,-0.6362250000000018,1.0,0.0,1
0.05555555555555558,0.6362250000000018,-1.0,0.0,0
0.19999999999999996,0.5055714285714281,0.0,0.0,1
-0.19999999999999996,-0.5055714285714281,0.0,0.0,0
0.29999999999999993,-1.1777333333333342,0.0,0.0,1
-0.29999999999999993,1.1777333333333342,0.0,0.0,0
0.0,-1.023599999999999,0.0,0.0,1
0.0,1.023599999999999,0.0,0.0,0
-0.09999999999999998,-0.11080952380952391,0.0,0.0,1
0.09999999999999998,0.11080952380952391,0.0,0.0,0
-0.09999999999999998,0.7563750000000002,-2.0,0.0,1
0.09999999999999998,-0.7563750000000002,2.0,0.0,0
