player,elo_global,elo_clay,elo_hard,elo_grass
Krueger A.,1629.602473062285,1505.3171990956719,1605.8019359439456,1482.6297906630625
Tjen J.,1628.8431618967766,1500.0,1618.850841888129,1500.0
Kvitova P.,1628.2456985766564,1594.9076244511575,1685.5890350962552,1750.122757176183
Wang Xin.,1625.1194090858748,1491.1262050240043,1549.0001465912721,1606.664225858402
Begu I.,1624.4105856186152,1648.6415917084041,1498.925066064108,1495.973745029351
McNally C.,1621.0371595034067,1503.560367268987,1565.5209518046784,1539.0624327621965
Gracheva V.,1617.459111124512,1517.6433301154868,1539.2740495869548,1525.614821437351
Martinez-Sanchez M.J.,1616.6542294564094,1625.7411892461985,1600.0067647121673,1539.8683746589704
Gasparyan M.,1615.5081034127147,1427.526473055433,1617.3016077045108,1489.9426134255439
Stearns P.,1613.798191654623,1647.0980531630582,1542.861230184221,1415.1488560423086
Golubic V.,1613.7467429936787,1456.768628845895,1573.1851783816874,1469.88130701271
Petkovic A.,1612.9064457127695,1548.9949655542825,1581.2400707591928,1462.1469913668398
Linette M.,1612.7220622756859,1627.4485188323026,1588.471459639518,1473.1998017750818
Ruse E.G.,1611.8875904123895,1549.7192944012809,1519.3362633142694,1524.385138767107
Parry D.,1611.8834974020706,1521.6062404154839,1555.0160249188382,1573.8467905841514
Rogers S.,1611.7365470102843,1537.2075363800482,1628.095731633379,1479.1243276515547
Boulter K.,1611.4818644889742,1479.6541901333558,1557.718980023826,1662.2010455917343
Seidel E.,1610.0631640808958,1523.307137318192,1582.1794007911678,1472.0730322028646
Cocciaretto E.,1609.4210385442614,1580.4686223413948,1494.5454908280674,1588.0763356766445
Osorio M.,1607.9443861329291,1632.5177670490862,1555.0053644725288,1388.4477699050053
Sonmez Z.,1606.0202555946728,1461.3612015001415,1560.3366629524342,1540.0057658298122
Tomljanovic A.,1605.9065373332908,1547.9692119450128,1563.7573138055477,1574.8580026907523
"Sharapova, M.",1602.666623649489,1500.0,1592.3087039838836,1500.0
Zheng J.,1601.032287594238,1506.109497010072,1548.6524547263205,1589.8861185252126
Sorribes Tormo S.,1599.7543062371444,1612.8321403424789,1571.4606373619981,1461.847616935919
Burel C.,1599.287681289657,1570.1494248772535,1595.2469737589354,1429.7014506625283
Bacsinszky T.,1598.173439548828,1713.9519119296415,1588.9029346865318,1565.8395261528722
Lamens S.,1597.3489846461023,1500.8348589486404,1554.3445729417665,1502.201980429649
Galfi D.,1597.2511754644272,1473.104798989902,1474.400408837976,1596.7069661208075
Sasnovich A.,1596.3727898064883,1539.7112717886491,1568.2659353697836,1545.7078796047629
Garcia C.,1595.881940716776,1625.8229862648138,1590.4540033329954,1677.1666600886622
Hingis M.,1595.8486549110914,1499.708481183908,1598.2314861943166,1528.471349194471
Wang Y.,1592.2679799543982,1462.2048353838504,1558.070479289561,1442.0204806033896
Knapp K.,1591.5988044149447,1625.187979666741,1511.832288598916,1405.4637830187335
Bouchard E.,1590.774470188008,1631.6606410494874,1553.5285204079858,1504.564928497122
Hsieh S.W.,1590.3231329184148,1460.454977788127,1652.1291724391504,1564.6115089427783
Gavrilova D.,1589.6820608376768,1563.647606155958,1621.3000801535195,1486.4409755996055
Avanesyan E.,1589.4000662365083,1572.8820846901833,1593.1752643182658,1500.1723874835438
Zhu L.,1588.8067334278996,1394.6699836240464,1576.8493041671356,1485.2268944304492
Dellacqua C.,1587.964386405374,1477.1280967574378,1545.3744343838018,1591.7869551927097
Lucic M.,1587.4690839184059,1510.925244277812,1535.1369831209963,1528.054438067822
Makarova E.,1585.995775040853,1548.865339341882,1585.3615301940774,1670.5069175186875
Yuan Y.,1579.8883170362033,1449.055812961016,1557.2504937888257,1428.51329321609
Kalinina A.,1578.9276595899726,1600.6722893553197,1539.5647208203357,1501.5100569541385
Wang Yaf.,1578.3098299416197,1484.2210037709813,1567.7754792969183,1489.1879580591003
Birrell K.,1576.4575735905491,1458.495256693352,1580.009655828796,1481.2640051468302
Kanepi K.,1576.1195500674144,1545.2102150685992,1623.8461353634448,1445.9042972640107
Sawangkaew M.,1575.8905067214512,1500.0,1561.5980474869175,1500.0
Arango E.,1575.6958347949037,1450.9976877347424,1581.2783932012321,1467.5269088417194
Ruzic A.,1574.3792445390486,1501.960641460394,1537.135320439557,1502.7764539654577
Puig M.,1574.0481363798851,1579.4701229999455,1552.4269237933281,1464.8010775723253
Petrova N.,1573.9312430332955,1584.622939621699,1639.4206739037136,1632.2435674900928
Rakhimova K.,1572.2717108735471,1523.7279196298769,1460.3212886421732,1544.1790558857563
